data;

param num_jobs := 10;

param num_mach := 15;

param T := 
1 1 27
2 1 20
3 1 2
4 1 92
5 1 39
6 1 6
7 1 36
8 1 45
9 1 35
10 1 49
11 1 64
12 1 19
13 1 1
14 1 19
15 1 28
1 2 46
2 2 80
3 2 25
4 2 39
5 2 12
6 2 28
7 2 13
8 2 30
9 2 32
10 2 72
11 2 86
12 2 80
13 2 17
14 2 54
15 2 50
1 3 87
2 3 9
3 3 93
4 3 12
5 3 36
6 3 81
7 3 79
8 3 20
9 3 92
10 3 28
11 3 10
12 3 96
13 3 51
14 3 84
15 3 5
1 4 99
2 4 72
3 4 66
4 4 76
5 4 41
6 4 10
7 4 14
8 4 45
9 4 18
10 4 22
11 4 64
12 4 10
13 4 48
14 4 98
15 4 11
1 5 25
2 5 25
3 5 61
4 5 13
5 5 50
6 5 17
7 5 8
8 5 58
9 5 53
10 5 76
11 5 23
12 5 5
13 5 4
14 5 53
15 5 60
1 6 40
2 6 78
3 6 10
4 6 75
5 6 43
6 6 62
7 6 81
8 6 72
9 6 42
10 6 28
11 6 42
12 6 74
13 6 91
14 6 10
15 6 61
1 7 49
2 7 19
3 7 28
4 7 61
5 7 45
6 7 5
7 7 7
8 7 13
9 7 9
10 7 15
11 7 5
12 7 31
13 7 1
14 7 87
15 7 54
1 8 50
2 8 33
3 8 37
4 8 63
5 8 1
6 8 81
7 8 37
8 8 44
9 8 14
10 8 58
11 8 93
12 8 54
13 8 20
14 8 39
15 8 20
1 9 85
2 9 21
3 9 91
4 9 74
5 9 16
6 9 60
7 9 40
8 9 18
9 9 17
10 9 9
11 9 61
12 9 5
13 9 97
14 9 43
15 9 9
1 10 25
2 10 96
3 10 94
4 10 95
5 10 41
6 10 74
7 10 75
8 10 94
9 10 4
10 10 73
11 10 35
12 10 32
13 10 31
14 10 26
15 10 85;


end;
