data;

param num_jobs := 600;

param num_mach := 20;

param T := 
1 1 48
2 1 25
3 1 3
4 1 76
5 1 61
6 1 15
7 1 58
8 1 34
9 1 20
10 1 43
11 1 59
12 1 58
13 1 85
14 1 70
15 1 51
16 1 37
17 1 92
18 1 53
19 1 93
20 1 90
1 2 5
2 2 90
3 2 72
4 2 30
5 2 94
6 2 90
7 2 42
8 2 12
9 2 8
10 2 69
11 2 96
12 2 89
13 2 14
14 2 68
15 2 58
16 2 83
17 2 52
18 2 45
19 2 20
20 2 20
1 3 18
2 3 82
3 3 98
4 3 10
5 3 55
6 3 23
7 3 77
8 3 69
9 3 53
10 3 9
11 3 36
12 3 5
13 3 56
14 3 5
15 3 7
16 3 7
17 3 32
18 3 15
19 3 7
20 3 28
1 4 67
2 4 31
3 4 26
4 4 54
5 4 86
6 4 75
7 4 82
8 4 67
9 4 97
10 4 20
11 4 58
12 4 78
13 4 22
14 4 93
15 4 88
16 4 79
17 4 67
18 4 18
19 4 76
20 4 32
1 5 38
2 5 27
3 5 33
4 5 93
5 5 97
6 5 57
7 5 84
8 5 57
9 5 34
10 5 26
11 5 85
12 5 58
13 5 82
14 5 19
15 5 32
16 5 44
17 5 3
18 5 69
19 5 74
20 5 58
1 6 41
2 6 96
3 6 52
4 6 42
5 6 93
6 6 17
7 6 22
8 6 79
9 6 59
10 6 77
11 6 39
12 6 32
13 6 66
14 6 55
15 6 12
16 6 32
17 6 94
18 6 20
19 6 51
20 6 50
1 7 24
2 7 63
3 7 77
4 7 30
5 7 86
6 7 41
7 7 50
8 7 75
9 7 21
10 7 73
11 7 39
12 7 26
13 7 24
14 7 10
15 7 64
16 7 62
17 7 63
18 7 46
19 7 53
20 7 7
1 8 12
2 8 50
3 8 94
4 8 41
5 8 83
6 8 45
7 8 8
8 8 36
9 8 11
10 8 41
11 8 36
12 8 65
13 8 90
14 8 23
15 8 40
16 8 62
17 8 60
18 8 35
19 8 48
20 8 24
1 9 17
2 9 14
3 9 91
4 9 82
5 9 78
6 9 72
7 9 40
8 9 99
9 9 33
10 9 25
11 9 90
12 9 50
13 9 53
14 9 9
15 9 1
16 9 92
17 9 49
18 9 45
19 9 63
20 9 58
1 10 3
2 10 44
3 10 50
4 10 97
5 10 96
6 10 49
7 10 85
8 10 64
9 10 28
10 10 62
11 10 27
12 10 33
13 10 90
14 10 16
15 10 55
16 10 73
17 10 36
18 10 71
19 10 7
20 10 32
1 11 74
2 11 51
3 11 3
4 11 86
5 11 56
6 11 55
7 11 51
8 11 87
9 11 49
10 11 10
11 11 32
12 11 93
13 11 24
14 11 33
15 11 87
16 11 56
17 11 74
18 11 39
19 11 86
20 11 30
1 12 60
2 12 13
3 12 21
4 12 8
5 12 58
6 12 10
7 12 58
8 12 88
9 12 23
10 12 71
11 12 75
12 12 49
13 12 30
14 12 70
15 12 16
16 12 82
17 12 38
18 12 18
19 12 70
20 12 88
1 13 85
2 13 93
3 13 70
4 13 73
5 13 22
6 13 83
7 13 26
8 13 62
9 13 25
10 13 41
11 13 72
12 13 47
13 13 73
14 13 4
15 13 95
16 13 20
17 13 59
18 13 25
19 13 40
20 13 53
1 14 58
2 14 14
3 14 39
4 14 58
5 14 10
6 14 82
7 14 13
8 14 92
9 14 63
10 14 49
11 14 17
12 14 23
13 14 82
14 14 51
15 14 46
16 14 67
17 14 40
18 14 50
19 14 24
20 14 55
1 15 22
2 15 54
3 15 31
4 15 89
5 15 28
6 15 74
7 15 51
8 15 2
9 15 53
10 15 92
11 15 45
12 15 34
13 15 59
14 15 17
15 15 73
16 15 76
17 15 99
18 15 38
19 15 35
20 15 60
1 16 39
2 16 31
3 16 80
4 16 81
5 16 83
6 16 40
7 16 34
8 16 88
9 16 17
10 16 65
11 16 26
12 16 85
13 16 7
14 16 32
15 16 8
16 16 21
17 16 30
18 16 96
19 16 20
20 16 53
1 17 18
2 17 46
3 17 27
4 17 34
5 17 37
6 17 73
7 17 39
8 17 37
9 17 50
10 17 41
11 17 81
12 17 21
13 17 21
14 17 69
15 17 85
16 17 20
17 17 52
18 17 20
19 17 17
20 17 83
1 18 86
2 18 36
3 18 57
4 18 17
5 18 94
6 18 75
7 18 5
8 18 93
9 18 32
10 18 64
11 18 65
12 18 36
13 18 53
14 18 21
15 18 47
16 18 99
17 18 97
18 18 56
19 18 77
20 18 87
1 19 85
2 19 43
3 19 10
4 19 95
5 19 7
6 19 99
7 19 87
8 19 57
9 19 74
10 19 51
11 19 83
12 19 42
13 19 79
14 19 46
15 19 25
16 19 30
17 19 66
18 19 41
19 19 83
20 19 50
1 20 29
2 20 99
3 20 87
4 20 77
5 20 79
6 20 52
7 20 75
8 20 12
9 20 43
10 20 12
11 20 13
12 20 89
13 20 98
14 20 50
15 20 34
16 20 95
17 20 42
18 20 81
19 20 76
20 20 77
1 21 55
2 21 96
3 21 32
4 21 91
5 21 19
6 21 56
7 21 21
8 21 18
9 21 78
10 21 33
11 21 62
12 21 22
13 21 64
14 21 51
15 21 15
16 21 66
17 21 36
18 21 79
19 21 87
20 21 93
1 22 71
2 22 64
3 22 53
4 22 18
5 22 55
6 22 21
7 22 27
8 22 21
9 22 16
10 22 1
11 22 74
12 22 28
13 22 19
14 22 18
15 22 69
16 22 98
17 22 25
18 22 4
19 22 19
20 22 87
1 23 53
2 23 12
3 23 18
4 23 28
5 23 27
6 23 95
7 23 13
8 23 59
9 23 83
10 23 40
11 23 69
12 23 5
13 23 75
14 23 15
15 23 89
16 23 62
17 23 87
18 23 62
19 23 20
20 23 63
1 24 64
2 24 72
3 24 36
4 24 20
5 24 12
6 24 81
7 24 9
8 24 68
9 24 14
10 24 4
11 24 75
12 24 60
13 24 84
14 24 84
15 24 84
16 24 77
17 24 47
18 24 32
19 24 75
20 24 73
1 25 4
2 25 76
3 25 12
4 25 47
5 25 42
6 25 39
7 25 93
8 25 25
9 25 1
10 25 35
11 25 99
12 25 98
13 25 66
14 25 35
15 25 49
16 25 30
17 25 98
18 25 54
19 25 71
20 25 45
1 26 94
2 26 45
3 26 31
4 26 71
5 26 39
6 26 13
7 26 55
8 26 69
9 26 5
10 26 91
11 26 34
12 26 91
13 26 95
14 26 31
15 26 17
16 26 58
17 26 55
18 26 91
19 26 22
20 26 25
1 27 70
2 27 50
3 27 14
4 27 96
5 27 50
6 27 57
7 27 33
8 27 96
9 27 67
10 27 5
11 27 85
12 27 14
13 27 75
14 27 94
15 27 8
16 27 70
17 27 50
18 27 9
19 27 78
20 27 90
1 28 22
2 28 27
3 28 48
4 28 61
5 28 81
6 28 48
7 28 91
8 28 18
9 28 93
10 28 4
11 28 14
12 28 92
13 28 40
14 28 72
15 28 64
16 28 13
17 28 84
18 28 30
19 28 43
20 28 25
1 29 23
2 29 3
3 29 90
4 29 95
5 29 55
6 29 97
7 29 11
8 29 22
9 29 24
10 29 38
11 29 63
12 29 17
13 29 69
14 29 21
15 29 15
16 29 92
17 29 4
18 29 72
19 29 52
20 29 41
1 30 30
2 30 80
3 30 90
4 30 74
5 30 27
6 30 15
7 30 15
8 30 93
9 30 87
10 30 74
11 30 63
12 30 81
13 30 91
14 30 19
15 30 29
16 30 54
17 30 31
18 30 72
19 30 28
20 30 2
1 31 36
2 31 14
3 31 74
4 31 14
5 31 59
6 31 80
7 31 59
8 31 61
9 31 23
10 31 51
11 31 23
12 31 86
13 31 35
14 31 6
15 31 56
16 31 30
17 31 16
18 31 45
19 31 82
20 31 73
1 32 21
2 32 36
3 32 13
4 32 98
5 32 23
6 32 26
7 32 55
8 32 87
9 32 95
10 32 17
11 32 30
12 32 4
13 32 32
14 32 6
15 32 35
16 32 36
17 32 52
18 32 41
19 32 43
