data;

param num_jobs := 500;

param num_mach := 60;

param T := 
1 1 45
2 1 78
3 1 68
4 1 32
5 1 5
6 1 77
7 1 53
8 1 30
9 1 35
10 1 9
11 1 16
12 1 44
13 1 97
14 1 6
15 1 76
16 1 81
17 1 61
18 1 24
19 1 62
20 1 78
21 1 75
22 1 27
23 1 57
24 1 90
25 1 38
26 1 13
27 1 46
28 1 40
29 1 65
30 1 54
31 1 30
32 1 58
33 1 20
34 1 32
35 1 37
36 1 77
37 1 67
38 1 9
39 1 57
40 1 37
41 1 53
42 1 35
43 1 59
44 1 30
45 1 47
46 1 16
47 1 86
48 1 8
49 1 69
50 1 74
51 1 27
52 1 93
53 1 98
54 1 73
55 1 13
56 1 98
57 1 49
58 1 95
59 1 87
60 1 26
1 2 44
2 2 4
3 2 48
4 2 20
5 2 32
6 2 2
7 2 62
8 2 78
9 2 13
10 2 92
11 2 93
12 2 44
13 2 89
14 2 5
15 2 6
16 2 59
17 2 52
18 2 6
19 2 23
20 2 10
21 2 49
22 2 60
23 2 62
24 2 34
25 2 19
26 2 81
27 2 70
28 2 53
29 2 80
30 2 78
31 2 30
32 2 47
33 2 7
34 2 15
35 2 20
36 2 84
37 2 28
38 2 18
39 2 34
40 2 86
41 2 40
42 2 12
43 2 9
44 2 80
45 2 14
46 2 60
47 2 5
48 2 66
49 2 27
50 2 38
51 2 36
52 2 15
53 2 81
54 2 73
55 2 61
56 2 54
57 2 55
58 2 33
59 2 66
60 2 25
1 3 9
2 3 39
3 3 1
4 3 18
5 3 60
6 3 22
7 3 57
8 3 99
9 3 72
10 3 81
11 3 98
12 3 13
13 3 39
14 3 92
15 3 79
16 3 4
17 3 60
18 3 65
19 3 8
20 3 95
21 3 25
22 3 69
23 3 48
24 3 36
25 3 59
26 3 73
27 3 68
28 3 68
29 3 14
30 3 53
31 3 63
32 3 14
33 3 77
34 3 74
35 3 27
36 3 58
37 3 54
38 3 56
39 3 48
40 3 90
41 3 40
42 3 66
43 3 51
44 3 25
45 3 85
46 3 9
47 3 4
48 3 7
49 3 31
50 3 2
51 3 66
52 3 96
53 3 40
54 3 53
55 3 62
56 3 66
57 3 93
58 3 92
59 3 81
60 3 49
1 4 92
2 4 11
3 4 51
4 4 53
5 4 92
6 4 3
7 4 35
8 4 1
9 4 76
10 4 42
11 4 58
12 4 69
13 4 24
14 4 13
15 4 40
16 4 48
17 4 46
18 4 77
19 4 11
20 4 14
21 4 85
22 4 72
23 4 36
24 4 30
25 4 4
26 4 37
