data;

param num_jobs := 20;

param num_mach := 20;

param T := 
1 1 64
2 1 38
3 1 94
4 1 96
5 1 80
6 1 93
7 1 8
8 1 77
9 1 43
10 1 43
11 1 8
12 1 7
13 1 33
14 1 20
15 1 94
16 1 44
17 1 86
18 1 79
19 1 45
20 1 52
1 2 99
2 2 5
3 2 40
4 2 19
5 2 1
6 2 41
7 2 22
8 2 99
9 2 83
10 2 25
11 2 32
12 2 91
13 2 41
14 2 10
15 2 37
16 2 23
17 2 34
18 2 10
19 2 52
20 2 22
1 3 8
2 3 16
3 3 96
4 3 99
5 3 24
6 3 50
7 3 67
8 3 60
9 3 69
10 3 59
11 3 8
12 3 16
13 3 69
14 3 76
15 3 91
16 3 81
17 3 15
18 3 87
19 3 69
20 3 72
1 4 72
2 4 88
3 4 35
4 4 22
5 4 46
6 4 26
7 4 25
8 4 2
9 4 3
10 4 38
11 4 33
12 4 18
13 4 90
14 4 65
15 4 18
16 4 90
17 4 99
18 4 73
19 4 52
20 4 65
1 5 51
2 5 14
3 5 8
4 5 7
5 5 15
6 5 35
7 5 90
8 5 66
9 5 88
10 5 89
11 5 82
12 5 33
13 5 86
14 5 14
15 5 39
16 5 97
17 5 32
18 5 84
19 5 44
20 5 8
1 6 36
2 6 60
3 6 43
4 6 74
5 6 20
6 6 76
7 6 81
8 6 71
9 6 4
10 6 49
11 6 36
12 6 31
13 6 76
14 6 97
15 6 15
16 6 23
17 6 15
18 6 5
19 6 51
20 6 94
1 7 17
2 7 62
3 7 32
4 7 73
5 7 73
6 7 81
7 7 26
8 7 79
9 7 82
10 7 51
11 7 3
12 7 13
13 7 90
14 7 96
15 7 73
16 7 76
17 7 8
18 7 47
19 7 69
20 7 85
1 8 40
2 8 27
3 8 49
4 8 54
5 8 23
6 8 32
7 8 22
8 8 64
9 8 55
10 8 50
11 8 87
12 8 64
13 8 79
14 8 38
15 8 60
16 8 36
17 8 40
18 8 57
19 8 26
20 8 54
1 9 17
2 9 54
3 9 28
4 9 92
5 9 30
6 9 7
7 9 9
8 9 85
9 9 50
10 9 91
11 9 32
12 9 26
13 9 68
14 9 44
15 9 70
16 9 60
17 9 98
18 9 4
19 9 42
20 9 31
1 10 28
2 10 76
3 10 7
4 10 50
5 10 37
6 10 60
7 10 78
8 10 19
9 10 50
10 10 1
11 10 15
12 10 33
13 10 85
14 10 84
15 10 68
16 10 25
17 10 26
18 10 88
19 10 28
20 10 39
1 11 25
2 11 36
3 11 91
4 11 39
5 11 6
6 11 29
7 11 23
8 11 99
9 11 47
10 11 60
11 11 9
12 11 27
13 11 34
14 11 27
15 11 11
16 11 3
17 11 34
18 11 89
19 11 68
20 11 66
1 12 25
2 12 58
3 12 13
4 12 55
5 12 72
6 12 98
7 12 90
8 12 88
9 12 60
10 12 80
11 12 8
12 12 52
13 12 92
14 12 21
15 12 39
16 12 24
17 12 29
18 12 95
19 12 73
20 12 50
1 13 42
2 13 15
3 13 75
4 13 55
5 13 83
6 13 82
7 13 99
8 13 52
9 13 98
10 13 96
11 13 81
12 13 77
13 13 44
14 13 65
15 13 84
16 13 87
17 13 94
18 13 17
19 13 83
20 13 62
1 14 20
2 14 58
3 14 18
4 14 16
5 14 95
6 14 1
7 14 39
8 14 28
9 14 70
10 14 51
11 14 36
12 14 16
13 14 93
14 14 46
15 14 14
16 14 23
17 14 92
18 14 64
19 14 64
20 14 1
1 15 39
2 15 70
3 15 41
4 15 3
5 15 46
6 15 46
7 15 42
8 15 23
9 15 1
10 15 24
11 15 57
12 15 28
13 15 1
14 15 38
15 15 25
16 15 97
17 15 61
18 15 46
19 15 23
20 15 53
1 16 22
2 16 89
3 16 68
4 16 28
5 16 41
6 16 93
7 16 21
8 16 36
9 16 86
10 16 34
11 16 94
12 16 30
13 16 48
14 16 11
15 16 40
16 16 44
17 16 26
18 16 15
19 16 42
20 16 78
1 17 72
2 17 66
3 17 41
4 17 69
5 17 6
6 17 74
7 17 90
8 17 43
9 17 99
10 17 39
11 17 93
12 17 51
13 17 33
14 17 92
15 17 75
16 17 42
17 17 57
18 17 63
19 17 8
20 17 5
1 18 96
2 18 89
3 18 75
4 18 98
5 18 3
6 18 34
7 18 41
8 18 54
9 18 36
10 18 74
11 18 84
12 18 1
13 18 27
14 18 59
15 18 82
16 18 71
17 18 46
18 18 61
19 18 71
20 18 71
1 19 1
2 19 77
3 19 24
4 19 27
5 19 10
6 19 34
7 19 7
8 19 43
9 19 50
10 19 26
11 19 12
12 19 39
13 19 62
14 19 69
15 19 84
16 19 39
17 19 60
18 19 68
19 19 78
20 19 36
1 20 86
2 20 17
3 20 18
4 20 61
5 20 9
6 20 76
7 20 52
8 20 19
9 20 41
10 20 32
11 20 19
12 20 80
13 20 40
14 20 71
15 20 58
16 20 34
17 20 19
18 20 75
19 20 55
20 20 41;


end;
