data;

param num_jobs := 60;

param num_mach := 10;

param T := 
1 1 72
2 1 32
3 1 93
4 1 88
5 1 52
6 1 94
7 1 63
8 1 76
9 1 40
10 1 56
1 2 73
2 2 26
3 2 39
4 2 55
5 2 72
6 2 89
7 2 6
8 2 1
9 2 71
10 2 3
1 3 7
2 3 28
3 3 27
4 3 1
5 3 57
6 3 29
7 3 2
8 3 15
9 3 97
10 3 57
1 4 26
2 4 81
3 4 85
4 4 48
5 4 12
6 4 93
7 4 23
8 4 4
9 4 85
10 4 64
1 5 53
2 5 16
3 5 43
4 5 97
5 5 90
6 5 49
7 5 54
8 5 88
9 5 59
10 5 87
1 6 48
2 6 77
3 6 62
4 6 29
5 6 79
6 6 44
7 6 16
8 6 85
9 6 52
10 6 27
1 7 1
2 7 97
3 7 30
4 7 80
5 7 30
6 7 7
7 7 87
8 7 18
9 7 30
10 7 21
1 8 72
2 8 8
3 8 86
4 8 61
5 8 71
6 8 10
7 8 99
8 8 6
9 8 14
10 8 75
1 9 48
2 9 36
3 9 48
4 9 47
5 9 61
6 9 62
7 9 86
8 9 31
9 9 50
10 9 97
1 10 82
2 10 32
3 10 40
4 10 85
5 10 2
6 10 62
7 10 9
8 10 18
9 10 8
10 10 82
1 11 24
2 11 82
3 11 50
4 11 19
5 11 32
6 11 41
7 11 42
8 11 71
9 11 49
10 11 23
1 12 66
2 12 16
3 12 41
4 12 73
5 12 43
6 12 45
7 12 4
8 12 19
9 12 42
10 12 21
1 13 90
2 13 7
3 13 33
4 13 23
5 13 24
6 13 47
7 13 2
8 13 17
9 13 4
10 13 74
1 14 74
2 14 80
3 14 6
4 14 86
5 14 32
6 14 53
7 14 9
8 14 39
9 14 3
10 14 12
1 15 22
2 15 2
3 15 67
4 15 71
5 15 81
6 15 8
7 15 14
8 15 74
9 15 42
10 15 48
1 16 29
2 16 17
3 16 93
4 16 85
5 16 11
6 16 16
7 16 60
8 16 12
9 16 30
10 16 29
1 17 73
2 17 51
3 17 3
4 17 75
5 17 29
6 17 83
7 17 22
8 17 14
9 17 62
10 17 67
1 18 67
2 18 80
3 18 3
4 18 54
5 18 10
6 18 99
7 18 90
8 18 32
9 18 59
10 18 9
1 19 79
2 19 56
3 19 22
4 19 69
5 19 43
6 19 42
7 19 83
8 19 43
9 19 59
10 19 23
1 20 24
2 20 76
3 20 50
4 20 7
5 20 21
6 20 1
7 20 97
8 20 85
9 20 10
10 20 46
1 21 65
2 21 76
3 21 11
4 21 47
5 21 77
6 21 1
7 21 28
8 21 51
9 21 66
10 21 20
1 22 88
2 22 91
3 22 72
4 22 10
5 22 79
6 22 71
7 22 51
8 22 15
9 22 85
10 22 61
1 23 34
2 23 27
3 23 62
4 23 35
5 23 45
6 23 81
7 23 72
8 23 60
9 23 69
10 23 60
1 24 77
2 24 44
3 24 15
4 24 46
5 24 73
6 24 2
7 24 34
8 24 66
9 24 92
10 24 74
1 25 81
2 25 30
3 25 29
4 25 36
5 25 27
6 25 29
7 25 53
8 25 63
9 25 52
10 25 75
1 26 14
2 26 46
3 26 97
4 26 78
5 26 59
6 26 73
7 26 47
8 26 2
9 26 15
10 26 27
1 27 51
2 27 35
3 27 95
4 27 43
5 27 37
6 27 89
7 27 61
8 27 55
9 27 62
10 27 86
1 28 16
2 28 11
3 28 88
4 28 2
5 28 20
6 28 28
7 28 3
8 28 96
9 28 83
10 28 31
1 29 12
2 29 29
3 29 31
4 29 91
5 29 66
6 29 44
7 29 73
8 29 58
9 29 19
10 29 71
1 30 19
2 30 46
3 30 2
4 30 94
5 30 23
6 30 27
7 30 83
8 30 53
9 30 42
10 30 37
1 31 53
2 31 5
3 31 46
4 31 99
5 31 13
6 31 58
7 31 13
8 31 20
9 31 10
10 31 49
1 32 97
2 32 5
3 32 19
4 32 13
5 32 62
6 32 14
7 32 56
8 32 92
9 32 96
10 32 50
1 33 1
2 33 82
3 33 71
4 33 33
5 33 32
6 33 80
7 33 7
8 33 25
9 33 33
10 33 16
1 34 49
2 34 99
3 34 98
4 34 69
5 34 74
6 34 73
7 34 59
8 34 7
9 34 76
10 34 38
1 35 9
2 35 83
3 35 14
4 35 59
5 35 89
6 35 97
7 35 97
8 35 49
9 35 84
10 35 4
1 36 63
2 36 4
3 36 9
4 36 6
5 36 70
6 36 71
7 36 6
8 36 92
9 36 85
10 36 9
1 37 89
2 37 89
3 37 78
4 37 13
5 37 93
6 37 40
7 37 27
8 37 60
9 37 7
10 37 35
1 38 92
2 38 76
3 38 13
4 38 53
5 38 39
6 38 18
7 38 67
8 38 86
9 38 89
10 38 55
1 39 73
2 39 65
3 39 48
4 39 71
5 39 39
6 39 97
7 39 30
8 39 17
9 39 36
10 39 88
1 40 84
2 40 97
3 40 85
4 40 19
5 40 91
6 40 70
7 40 34
8 40 82
9 40 73
10 40 85
1 41 14
2 41 15
3 41 56
4 41 2
5 41 88
6 41 69
7 41 69
