data;

param num_jobs := 20;

param num_mach := 10;

param T := 
1 1 88
2 1 49
3 1 50
4 1 61
5 1 60
6 1 19
7 1 82
8 1 83
9 1 90
10 1 67
1 2 33
2 2 39
3 2 58
4 2 44
5 2 58
6 2 67
7 2 24
8 2 40
9 2 72
10 2 19
1 3 5
2 3 68
3 3 92
4 3 97
5 3 92
6 3 77
7 3 41
8 3 90
9 3 72
10 3 53
1 4 7
2 4 97
3 4 89
4 4 5
5 4 2
6 4 25
7 4 89
8 4 30
9 4 58
10 4 99
1 5 3
2 5 16
3 5 56
4 5 18
5 5 69
6 5 21
7 5 79
8 5 41
9 5 11
10 5 27
1 6 27
2 6 92
3 6 12
4 6 77
5 6 48
6 6 22
7 6 51
8 6 36
9 6 63
10 6 54
1 7 97
2 7 20
3 7 90
4 7 14
5 7 76
6 7 98
7 7 91
8 7 9
9 7 51
10 7 81
1 8 15
2 8 24
3 8 88
4 8 97
5 8 84
6 8 29
7 8 95
8 8 66
9 8 74
10 8 25
1 9 54
2 9 22
3 9 65
4 9 82
5 9 83
6 9 4
7 9 64
8 9 30
9 9 6
10 9 60
1 10 49
2 10 14
3 10 9
4 10 17
5 10 52
6 10 29
7 10 14
8 10 91
9 10 8
10 10 85
1 11 2
2 11 90
3 11 28
4 11 79
5 11 53
6 11 83
7 11 67
8 11 67
9 11 7
10 11 55
1 12 3
2 12 59
3 12 42
4 12 99
5 12 42
6 12 95
7 12 36
8 12 66
9 12 25
10 12 65
1 13 60
2 13 12
3 13 91
4 13 74
5 13 8
6 13 94
7 13 31
8 13 79
9 13 62
10 13 20
1 14 20
2 14 43
3 14 68
4 14 27
5 14 34
6 14 80
7 14 51
8 14 74
9 14 91
10 14 93
1 15 89
2 15 64
3 15 34
4 15 22
5 15 54
6 15 9
7 15 92
8 15 51
9 15 55
10 15 35
1 16 66
2 16 60
3 16 65
4 16 77
5 16 17
6 16 2
7 16 17
8 16 7
9 16 74
10 16 37
1 17 75
2 17 95
3 17 80
4 17 83
5 17 46
6 17 12
7 17 26
8 17 28
9 17 78
10 17 95
1 18 72
2 18 32
3 18 53
4 18 71
5 18 45
6 18 32
7 18 71
8 18 76
9 18 37
10 18 83
1 19 98
2 19 32
3 19 86
4 19 36
5 19 17
6 19 70
7 19 82
8 19 27
9 19 80
10 19 6
1 20 38
2 20 17
3 20 4
4 20 10
5 20 25
6 20 23
7 20 3
8 20 18
9 20 54
10 20 13;


end;data;

param num_jobs := 20;

param num_mach := 10;

param T := 
1 1 88
2 1 49
3 1 50
4 1 61
5 1 60
6 1 19
7 1 82
8 1 83
9 1 90
10 1 67
1 2 33
2 2 39
3 2 58
4 2 44
5 2 58
6 2 67
7 2 24
8 2 40
9 2 72
10 2 19
1 3 5
2 3 68
3 3 92
4 3 97
5 3 92
6 3 77
7 3 41
8 3 90
9 3 72
10 3 53
1 4 7
2 4 97
3 4 89
4 4 5
5 4 2
6 4 25
7 4 89
8 4 30
9 4 58
10 4 99
1 5 3
2 5 16
3 5 56
4 5 18
5 5 69
6 5 21
7 5 79
8 5 41
9 5 11
10 5 27
1 6 27
2 6 92
3 6 12
4 6 77
5 6 48
6 6 22
7 6 51
8 6 36
9 6 63
10 6 54
1 7 97
2 7 20
3 7 90
4 7 14
5 7 76
6 7 98
7 7 91
8 7 9
9 7 51
10 7 81
1 8 15
2 8 24
3 8 88
4 8 97
5 8 84
6 8 29
7 8 95
8 8 66
9 8 74
10 8 25
1 9 54
2 9 22
3 9 65
4 9 82
5 9 83
6 9 4
7 9 64
8 9 30
9 9 6
10 9 60
1 10 49
2 10 14
3 10 9
4 10 17
5 10 52
6 10 29
7 10 14
8 10 91
9 10 8
10 10 85
1 11 2
2 11 90
3 11 28
4 11 79
5 11 53
6 11 83
7 11 67
8 11 67
9 11 7
10 11 55
1 12 3
2 12 59
3 12 42
4 12 99
5 12 42
6 12 95
7 12 36
8 12 66
9 12 25
10 12 65
1 13 60
2 13 12
3 13 91
4 13 74
5 13 8
6 13 94
7 13 31
8 13 79
9 13 62
10 13 20
1 14 20
2 14 43
3 14 68
4 14 27
5 14 34
6 14 80
7 14 51
8 14 74
9 14 91
10 14 93
1 15 89
2 15 64
3 15 34
4 15 22
5 15 54
6 15 9
7 15 92
8 15 51
9 15 55
10 15 35
1 16 66
2 16 60
3 16 65
4 16 77
5 16 17
6 16 2
7 16 17
8 16 7
9 16 74
10 16 37
1 17 75
2 17 95
3 17 80
4 17 83
5 17 46
6 17 12
7 17 26
8 17 28
9 17 78
10 17 95
1 18 72
2 18 32
3 18 53
4 18 71
5 18 45
6 18 32
7 18 71
8 18 76
9 18 37
10 18 83
1 19 98
2 19 32
3 19 86
4 19 36
5 19 17
6 19 70
7 19 82
8 19 27
9 19 80
10 19 6
1 20 38
2 20 17
3 20 4
4 20 10
5 20 25
6 20 23
7 20 3
8 20 18
9 20 54
10 20 13;


end;
