data;

param num_jobs := 500;

param num_mach := 40;

param T := 
1 1 12
2 1 75
3 1 70
4 1 51
5 1 26
6 1 38
7 1 49
8 1 29
9 1 89
10 1 41
11 1 25
12 1 76
13 1 23
14 1 41
15 1 19
16 1 49
17 1 59
18 1 45
19 1 34
20 1 80
21 1 8
22 1 86
23 1 80
24 1 12
25 1 97
26 1 29
27 1 37
28 1 24
29 1 52
30 1 10
31 1 14
32 1 62
33 1 65
34 1 56
35 1 80
36 1 19
37 1 50
38 1 41
39 1 88
40 1 33
1 2 6
2 2 61
3 2 92
4 2 32
5 2 24
6 2 43
7 2 39
8 2 94
9 2 12
10 2 22
11 2 1
12 2 41
13 2 17
14 2 49
15 2 59
16 2 65
17 2 80
18 2 18
19 2 68
20 2 54
21 2 55
22 2 11
23 2 44
24 2 83
25 2 51
26 2 14
27 2 75
28 2 71
29 2 9
30 2 52
31 2 48
32 2 25
33 2 18
34 2 35
35 2 17
36 2 19
37 2 13
38 2 25
39 2 82
40 2 86
1 3 28
2 3 56
3 3 45
4 3 24
5 3 87
6 3 78
7 3 47
8 3 19
9 3 62
10 3 96
11 3 33
12 3 63
13 3 29
14 3 30
15 3 79
16 3 22
17 3 94
18 3 18
19 3 75
20 3 49
21 3 88
22 3 40
23 3 55
24 3 88
25 3 30
26 3 30
27 3 21
28 3 86
29 3 24
30 3 99
31 3 2
32 3 14
33 3 32
34 3 5
35 3 30
36 3 76
37 3 42
38 3 20
39 3 50
40 3 51
1 4 22
2 4 95
3 4 68
4 4 84
5 4 19
6 4 29
7 4 24
8 4 34
9 4 67
10 4 59
11 4 35
12 4 56
13 4 94
14 4 73
15 4 49
16 4 46
17 4 45
18 4 88
19 4 10
20 4 98
21 4 61
22 4 30
23 4 2
24 4 51
25 4 92
26 4 48
27 4 50
28 4 9
29 4 23
30 4 18
31 4 85
32 4 78
33 4 32
34 4 22
35 4 98
36 4 61
37 4 39
38 4 23
39 4 38
40 4 66
1 5 84
2 5 59
3 5 38
4 5 60
5 5 55
6 5 26
7 5 73
8 5 60
9 5 59
10 5 31
11 5 72
12 5 34
13 5 2
14 5 33
15 5 50
16 5 65
17 5 24
18 5 93
19 5 32
20 5 94
21 5 90
22 5 20
23 5 76
24 5 57
25 5 63
26 5 58
27 5 26
28 5 55
29 5 77
30 5 79
31 5 41
32 5 54
33 5 10
34 5 63
35 5 5
36 5 92
37 5 17
38 5 68
39 5 80
40 5 31
1 6 63
2 6 54
3 6 77
4 6 82
5 6 91
6 6 74
7 6 69
8 6 10
9 6 84
10 6 77
11 6 37
12 6 75
13 6 28
14 6 75
15 6 55
16 6 83
17 6 78
18 6 65
19 6 38
20 6 39
21 6 88
22 6 15
23 6 12
24 6 20
25 6 49
26 6 44
27 6 87
28 6 50
29 6 46
30 6 77
31 6 31
32 6 99
33 6 45
34 6 32
35 6 79
36 6 51
37 6 46
38 6 74
39 6 40
40 6 28
1 7 80
2 7 59
3 7 58
4 7 53
5 7 38
6 7 34
7 7 60
8 7 91
9 7 38
10 7 79
11 7 6
12 7 1
13 7 98
14 7 99
15 7 84
16 7 76
17 7 55
18 7 2
19 7 69
20 7 92
21 7 33
22 7 27
23 7 93
24 7 43
25 7 87
26 7 14
27 7 16
28 7 59
29 7 52
30 7 3
31 7 3
32 7 52
33 7 61
34 7 27
35 7 21
36 7 94
37 7 43
38 7 49
39 7 40
40 7 54
1 8 97
2 8 14
3 8 81
4 8 41
5 8 6
6 8 54
7 8 52
8 8 28
9 8 25
10 8 61
11 8 67
12 8 43
13 8 83
14 8 97
15 8 44
16 8 81
17 8 68
18 8 26
19 8 6
20 8 41
21 8 67
22 8 80
23 8 53
24 8 6
25 8 23
26 8 95
27 8 83
28 8 30
29 8 86
30 8 71
31 8 49
32 8 84
33 8 8
34 8 57
35 8 1
36 8 78
37 8 75
38 8 52
39 8 65
40 8 63
1 9 3
2 9 76
3 9 34
4 9 91
5 9 26
6 9 65
7 9 67
8 9 70
9 9 59
10 9 71
11 9 50
12 9 44
13 9 18
14 9 81
15 9 47
16 9 96
17 9 4
18 9 5
19 9 39
20 9 57
21 9 32
22 9 59
23 9 49
24 9 34
25 9 14
