data;

param num_jobs := 60;

param num_mach := 5;

param T := 
1 1 74
2 1 48
3 1 99
4 1 18
5 1 73
1 2 52
2 2 61
3 2 20
4 2 71
5 2 42
1 3 39
2 3 16
3 3 28
4 3 50
5 3 41
1 4 23
2 4 11
3 4 11
4 4 3
5 4 21
1 5 53
2 5 75
3 5 55
4 5 30
5 5 8
1 6 84
2 6 98
3 6 83
4 6 19
5 6 64
1 7 47
2 7 83
3 7 72
4 7 92
5 7 88
1 8 95
2 8 8
3 8 63
4 8 70
5 8 37
1 9 83
2 9 48
3 9 16
4 9 35
5 9 39
1 10 18
2 10 24
3 10 82
4 10 1
5 10 91
1 11 12
2 11 14
3 11 13
4 11 16
5 11 87
1 12 70
2 12 2
3 12 90
4 12 91
5 12 36
1 13 92
2 13 93
3 13 21
4 13 51
5 13 53
1 14 87
2 14 26
3 14 58
4 14 16
5 14 86
1 15 57
2 15 12
3 15 15
4 15 22
5 15 91
1 16 62
2 16 38
3 16 50
4 16 68
5 16 21
1 17 71
2 17 84
3 17 10
4 17 24
5 17 4
1 18 26
2 18 19
3 18 85
4 18 97
5 18 49
1 19 61
2 19 97
3 19 56
4 19 67
5 19 93
1 20 9
2 20 52
3 20 52
4 20 81
5 20 4
1 21 71
2 21 25
3 21 17
4 21 54
5 21 9
1 22 21
2 22 45
3 22 21
4 22 24
5 22 84
1 23 42
2 23 20
3 23 13
4 23 74
5 23 18
1 24 87
2 24 90
3 24 61
4 24 27
5 24 13
1 25 68
2 25 65
3 25 7
4 25 6
5 25 76
1 26 52
2 26 93
3 26 36
4 26 63
5 26 89
1 27 74
2 27 54
3 27 78
4 27 43
5 27 65
1 28 78
2 28 19
3 28 42
4 28 47
5 28 10
1 29 79
2 29 70
3 29 83
4 29 11
5 29 72
1 30 37
2 30 1
3 30 66
4 30 69
5 30 47
1 31 14
2 31 89
3 31 96
4 31 79
5 31 23
1 32 71
2 32 1
3 32 33
4 32 20
5 32 65
1 33 39
2 33 96
3 33 64
4 33 61
5 33 77
1 34 70
2 34 36
3 34 97
4 34 3
5 34 22
1 35 66
2 35 4
3 35 71
4 35 72
5 35 3
1 36 78
2 36 56
3 36 38
4 36 67
5 36 48
1 37 70
2 37 68
3 37 98
4 37 58
5 37 69
1 38 72
2 38 1
3 38 84
4 38 61
5 38 4
1 39 42
2 39 82
3 39 86
4 39 58
5 39 62
1 40 1
2 40 38
3 40 1
4 40 85
5 40 29
1 41 29
2 41 36
3 41 64
4 41 55
5 41 46
1 42 68
2 42 79
3 42 56
4 42 27
5 42 30
1 43 74
2 43 49
3 43 57
4 43 75
5 43 23
1 44 59
2 44 83
3 44 63
4 44 26
5 44 10
1 45 73
2 45 76
3 45 1
4 45 22
5 45 75
1 46 45
2 46 20
3 46 76
4 46 64
5 46 91
1 47 90
2 47 88
3 47 73
4 47 97
5 47 2
1 48 92
2 48 35
3 48 51
4 48 62
5 48 33
1 49 5
2 49 55
3 49 22
4 49 10
5 49 24
1 50 84
2 50 48
3 50 36
4 50 44
5 50 12
1 51 78
2 51 89
3 51 34
4 51 74
5 51 4
1 52 72
2 52 29
3 52 21
4 52 35
5 52 18
1 53 93
2 53 65
3 53 47
4 53 96
5 53 18
1 54 59
2 54 30
3 54 22
4 54 52
5 54 27
1 55 72
2 55 45
3 55 70
4 55 47
5 55 57
1 56 98
2 56 99
3 56 72
4 56 55
5 56 34
1 57 61
2 57 15
3 57 35
4 57 42
5 57 23
1 58 37
2 58 34
3 58 72
4 58 30
5 58 36
1 59 52
2 59 81
3 59 96
4 59 8
5 59 71
1 60 74
2 60 54
3 60 15
4 60 97
5 60 25;


end;
