data;

param num_jobs := 100;

param num_mach := 60;

param T := 
1 1 62
2 1 41
3 1 96
4 1 33
5 1 87
6 1 72
7 1 11
8 1 39
9 1 9
10 1 49
11 1 62
12 1 7
13 1 15
14 1 33
15 1 29
16 1 82
17 1 33
18 1 83
19 1 9
20 1 13
21 1 61
22 1 17
23 1 62
24 1 91
25 1 61
26 1 51
27 1 18
28 1 19
29 1 30
30 1 64
31 1 29
32 1 46
33 1 1
34 1 6
35 1 99
36 1 32
37 1 55
38 1 29
39 1 3
40 1 96
41 1 30
42 1 29
43 1 69
44 1 89
45 1 53
46 1 22
47 1 14
48 1 88
49 1 54
50 1 83
51 1 29
52 1 80
53 1 23
54 1 32
55 1 63
56 1 29
57 1 11
58 1 48
59 1 62
60 1 96
1 2 8
2 2 29
3 2 43
4 2 80
5 2 32
6 2 45
7 2 28
8 2 13
9 2 15
10 2 49
11 2 57
12 2 80
13 2 70
14 2 34
15 2 62
16 2 8
17 2 85
18 2 62
19 2 57
20 2 98
21 2 68
22 2 96
23 2 91
24 2 8
25 2 27
26 2 17
27 2 74
28 2 23
29 2 94
30 2 97
31 2 45
32 2 58
33 2 95
34 2 72
35 2 68
36 2 81
37 2 33
38 2 32
39 2 76
40 2 43
41 2 42
42 2 7
43 2 74
44 2 83
45 2 28
46 2 48
47 2 94
48 2 13
49 2 6
50 2 6
51 2 59
52 2 7
53 2 82
54 2 56
55 2 92
56 2 64
57 2 71
58 2 41
59 2 83
60 2 7
1 3 20
2 3 16
3 3 93
4 3 36
5 3 82
6 3 19
7 3 70
8 3 58
9 3 95
10 3 6
11 3 94
12 3 49
13 3 4
14 3 18
15 3 82
16 3 30
17 3 66
18 3 72
19 3 20
20 3 63
21 3 44
22 3 2
23 3 98
24 3 91
25 3 21
26 3 64
27 3 80
28 3 80
29 3 42
30 3 21
31 3 7
32 3 47
33 3 56
34 3 43
35 3 38
36 3 67
37 3 94
38 3 90
39 3 89
40 3 6
41 3 23
42 3 81
43 3 80
44 3 14
45 3 54
46 3 46
47 3 35
48 3 78
49 3 14
50 3 33
51 3 94
52 3 27
53 3 73
54 3 92
55 3 31
56 3 12
57 3 20
58 3 93
59 3 55
60 3 45
1 4 13
2 4 17
3 4 85
4 4 43
5 4 39
6 4 38
7 4 11
8 4 96
9 4 97
10 4 2
11 4 44
12 4 99
13 4 35
14 4 40
15 4 85
16 4 79
17 4 38
18 4 2
19 4 12
20 4 20
21 4 59
22 4 72
23 4 76
24 4 76
25 4 4
26 4 17
27 4 84
28 4 10
29 4 32
30 4 85
31 4 68
32 4 2
33 4 47
34 4 36
35 4 90
36 4 26
37 4 66
38 4 78
39 4 44
40 4 78
41 4 95
42 4 64
43 4 29
44 4 98
45 4 64
46 4 36
47 4 11
48 4 44
49 4 89
50 4 37
51 4 21
52 4 77
53 4 60
54 4 55
55 4 24
56 4 95
57 4 83
58 4 10
59 4 69
60 4 12
1 5 20
2 5 55
3 5 23
4 5 54
5 5 98
6 5 29
7 5 16
8 5 62
9 5 98
10 5 65
11 5 74
12 5 73
13 5 32
14 5 85
15 5 13
16 5 46
17 5 59
18 5 90
19 5 12
20 5 65
21 5 30
22 5 52
23 5 96
24 5 8
25 5 36
26 5 65
27 5 97
28 5 74
29 5 2
30 5 1
31 5 68
32 5 25
33 5 64
34 5 85
35 5 74
36 5 63
37 5 9
38 5 92
39 5 84
40 5 49
41 5 65
42 5 18
43 5 35
44 5 50
45 5 91
46 5 66
47 5 45
48 5 65
49 5 80
50 5 98
51 5 93
52 5 58
53 5 70
54 5 91
55 5 98
56 5 99
57 5 68
58 5 10
59 5 59
60 5 10
1 6 86
2 6 13
3 6 43
4 6 43
5 6 58
6 6 29
7 6 28
8 6 48
9 6 8
10 6 70
11 6 45
12 6 17
13 6 55
14 6 75
15 6 67
16 6 86
17 6 95
18 6 5
19 6 49
20 6 64
21 6 3
22 6 25
23 6 12
24 6 94
25 6 13
26 6 45
27 6 14
28 6 74
29 6 7
30 6 12
31 6 73
32 6 10
33 6 3
34 6 66
35 6 31
36 6 37
37 6 10
38 6 11
39 6 43
40 6 84
41 6 18
42 6 48
43 6 71
44 6 29
45 6 22
46 6 98
47 6 8
48 6 67
49 6 5
50 6 94
51 6 26
52 6 34
53 6 16
54 6 2
55 6 77
56 6 6
57 6 45
58 6 47
59 6 55
60 6 88
1 7 61
2 7 18
3 7 5
4 7 85
5 7 56
6 7 78
7 7 44
8 7 65
9 7 38
10 7 25
11 7 27
12 7 8
13 7 46
14 7 60
15 7 66
16 7 82
17 7 86
18 7 69
19 7 99
20 7 85
21 7 18
22 7 21
23 7 52
24 7 47
25 7 23
26 7 35
27 7 48
28 7 78
29 7 46
30 7 79
31 7 64
32 7 29
33 7 9
34 7 93
35 7 20
36 7 59
37 7 93
38 7 57
39 7 74
40 7 67
41 7 81
42 7 36
43 7 41
44 7 9
45 7 90
46 7 84
47 7 58
48 7 6
49 7 30
50 7 87
51 7 83
52 7 39
53 7 76
54 7 69
55 7 82
56 7 59
57 7 41
58 7 98
59 7 37
60 7 60
1 8 85
2 8 66
3 8 6
4 8 16
5 8 88
6 8 25
7 8 87
8 8 61
9 8 96
10 8 11
11 8 89
12 8 65
13 8 86
14 8 79
15 8 98
16 8 38
17 8 40
18 8 44
19 8 2
20 8 60
21 8 99
22 8 74
23 8 5
24 8 39
25 8 57
26 8 18
27 8 45
28 8 10
29 8 3
30 8 39
31 8 8
32 8 54
33 8 17
34 8 80
35 8 74
36 8 3
37 8 4
38 8 19
39 8 77
40 8 28
41 8 87
42 8 38
43 8 31
44 8 64
45 8 20
46 8 60
47 8 63
48 8 3
49 8 69
50 8 7
51 8 78
52 8 41
53 8 7
54 8 72
55 8 10
56 8 98
57 8 78
58 8 40
59 8 49
60 8 20
1 9 54
2 9 70
3 9 74
4 9 23
5 9 88
6 9 38
7 9 89
8 9 75
9 9 24
10 9 2
11 9 61
12 9 4
13 9 30
14 9 37
15 9 20
16 9 53
17 9 56
18 9 54
19 9 51
20 9 69
21 9 45
22 9 88
23 9 96
24 9 76
25 9 25
26 9 43
27 9 44
28 9 44
29 9 95
30 9 6
31 9 76
32 9 94
33 9 53
34 9 79
35 9 3
36 9 84
37 9 34
38 9 99
39 9 96
40 9 53
41 9 79
42 9 21
43 9 12
44 9 42
45 9 24
46 9 99
47 9 54
48 9 1
49 9 88
50 9 8
51 9 29
52 9 61
53 9 20
54 9 48
55 9 89
56 9 25
57 9 94
58 9 68
59 9 57
60 9 6
1 10 5
2 10 77
3 10 87
4 10 21
5 10 74
6 10 21
7 10 12
8 10 17
9 10 78
10 10 73
11 10 69
12 10 87
13 10 66
14 10 44
15 10 4
16 10 2
17 10 10
18 10 13
19 10 5
20 10 63
21 10 24
22 10 36
23 10 15
24 10 58
25 10 39
26 10 90
27 10 20
28 10 81
29 10 18
30 10 51
31 10 99
32 10 23
33 10 39
34 10 18
35 10 19
36 10 68
37 10 5
38 10 23
39 10 71
40 10 55
41 10 33
42 10 12
43 10 7
44 10 63
45 10 45
46 10 58
47 10 13
48 10 53
49 10 65
50 10 59
51 10 23
52 10 75
53 10 79
54 10 26
55 10 80
56 10 2
57 10 34
58 10 64
59 10 74
60 10 71
1 11 62
2 11 15
3 11 23
4 11 43
5 11 73
6 11 79
7 11 83
8 11 90
9 11 48
10 11 80
11 11 2
12 11 91
13 11 1
14 11 12
15 11 35
16 11 96
17 11 40
18 11 72
19 11 17
20 11 71
21 11 10
22 11 16
23 11 34
24 11 57
25 11 91
26 11 35
27 11 46
28 11 86
29 11 26
30 11 66
31 11 67
32 11 52
33 11 58
34 11 2
35 11 81
36 11 21
37 11 21
38 11 15
39 11 71
40 11 23
41 11 18
42 11 62
43 11 75
44 11 78
45 11 73
46 11 17
47 11 7
48 11 39
49 11 39
50 11 14
51 11 95
52 11 41
53 11 99
54 11 55
55 11 42
56 11 10
57 11 6
58 11 88
59 11 86
60 11 67
1 12 27
2 12 37
3 12 40
4 12 17
5 12 2
6 12 75
7 12 29
8 12 20
9 12 31
10 12 67
11 12 47
12 12 83
13 12 46
14 12 5
15 12 17
16 12 23
17 12 30
18 12 15
19 12 1
20 12 73
21 12 94
22 12 31
23 12 31
24 12 53
25 12 31
26 12 48
27 12 27
28 12 20
29 12 86
30 12 86
31 12 27
32 12 57
33 12 35
34 12 62
35 12 59
36 12 89
37 12 51
38 12 20
39 12 24
40 12 11
41 12 95
42 12 80
43 12 56
44 12 74
45 12 75
46 12 16
47 12 2
48 12 92
49 12 41
50 12 40
51 12 22
52 12 14
53 12 23
54 12 94
55 12 3
56 12 7
57 12 40
58 12 56
59 12 43
60 12 53
1 13 8
2 13 95
3 13 42
4 13 27
5 13 40
6 13 72
7 13 20
8 13 27
9 13 31
10 13 40
11 13 23
12 13 70
13 13 45
14 13 89
15 13 16
16 13 79
17 13 65
18 13 73
19 13 58
20 13 10
21 13 63
22 13 70
23 13 4
24 13 11
25 13 5
26 13 92
27 13 96
28 13 11
29 13 1
30 13 39
31 13 23
32 13 61
33 13 61
34 13 54
35 13 61
36 13 4
37 13 20
38 13 46
39 13 41
40 13 20
41 13 28
42 13 59
43 13 86
44 13 86
45 13 48
46 13 26
47 13 23
48 13 65
49 13 86
50 13 25
51 13 63
52 13 58
53 13 45
54 13 32
55 13 5
56 13 45
57 13 82
58 13 35
59 13 97
60 13 78
1 14 26
2 14 51
3 14 77
4 14 77
5 14 50
6 14 70
7 14 64
8 14 73
9 14 41
10 14 3
11 14 71
12 14 89
13 14 93
14 14 23
15 14 75
16 14 53
17 14 12
18 14 17
19 14 49
20 14 81
21 14 26
22 14 90
23 14 50
24 14 76
25 14 22
26 14 92
27 14 11
28 14 31
29 14 67
30 14 52
31 14 93
32 14 35
33 14 67
34 14 42
35 14 91
36 14 18
37 14 93
38 14 23
39 14 82
40 14 80
41 14 59
42 14 12
43 14 83
44 14 92
45 14 43
46 14 95
47 14 53
48 14 72
49 14 83
50 14 84
51 14 44
52 14 61
53 14 83
54 14 58
55 14 98
56 14 62
57 14 21
58 14 68
59 14 32
60 14 15
1 15 31
2 15 92
3 15 72
4 15 10
5 15 18
6 15 57
7 15 28
8 15 81
9 15 23
10 15 61
11 15 98
12 15 26
13 15 20
14 15 84
15 15 77
16 15 18
17 15 56
18 15 63
19 15 83
20 15 53
21 15 48
22 15 47
23 15 34
24 15 20
25 15 74
26 15 87
27 15 43
28 15 71
29 15 54
30 15 18
31 15 8
32 15 76
33 15 9
34 15 29
35 15 25
36 15 41
37 15 8
38 15 36
39 15 24
40 15 50
41 15 84
42 15 4
43 15 46
44 15 68
45 15 56
46 15 79
47 15 79
48 15 85
49 15 77
50 15 31
51 15 33
52 15 13
53 15 33
54 15 17
55 15 19
56 15 55
57 15 26
58 15 7
59 15 68
60 15 18
1 16 28
2 16 48
3 16 4
4 16 30
5 16 3
6 16 51
7 16 42
8 16 76
9 16 7
10 16 15
11 16 96
12 16 88
13 16 40
14 16 41
15 16 12
16 16 26
17 16 92
18 16 98
19 16 45
20 16 51
21 16 14
22 16 26
23 16 69
24 16 77
25 16 2
26 16 3
27 16 79
28 16 48
29 16 81
30 16 18
31 16 12
32 16 71
33 16 34
34 16 10
35 16 12
36 16 19
37 16 76
38 16 70
39 16 17
40 16 69
41 16 23
42 16 24
43 16 37
44 16 43
45 16 62
46 16 33
47 16 33
48 16 73
49 16 41
50 16 91
51 16 52
52 16 99
53 16 37
54 16 92
55 16 61
56 16 80
57 16 56
58 16 8
59 16 70
60 16 62
1 17 96
2 17 89
3 17 60
4 17 61
5 17 53
6 17 98
7 17 48
8 17 23
9 17 60
10 17 18
11 17 46
12 17 82
13 17 5
14 17 89
15 17 14
16 17 45
17 17 41
18 17 11
19 17 97
20 17 43
21 17 2
22 17 52
23 17 8
24 17 52
25 17 82
26 17 99
27 17 79
28 17 61
29 17 39
30 17 30
31 17 23
32 17 45
33 17 43
34 17 62
35 17 56
36 17 74
37 17 56
38 17 56
39 17 59
40 17 52
41 17 46
42 17 46
43 17 25
44 17 84
45 17 38
46 17 34
47 17 72
48 17 7
49 17 79
50 17 72
51 17 48
52 17 26
53 17 66
54 17 18
55 17 44
56 17 60
57 17 50
58 17 33
59 17 95
60 17 70
1 18 33
2 18 65
3 18 46
4 18 26
5 18 5
6 18 48
7 18 87
8 18 55
9 18 5
10 18 68
11 18 15
12 18 51
13 18 90
14 18 26
15 18 51
16 18 54
17 18 49
18 18 73
19 18 35
20 18 25
21 18 92
22 18 91
23 18 76
24 18 70
25 18 14
26 18 75
27 18 23
28 18 10
29 18 5
30 18 99
31 18 85
32 18 63
33 18 56
34 18 3
35 18 25
36 18 17
37 18 80
38 18 26
39 18 1
40 18 6
41 18 46
42 18 68
43 18 15
44 18 96
45 18 16
46 18 51
47 18 25
48 18 77
49 18 4
50 18 20
51 18 98
52 18 77
53 18 12
54 18 9
55 18 25
56 18 82
57 18 12
58 18 53
59 18 28
60 18 19
1 19 74
2 19 27
3 19 22
4 19 5
5 19 70
6 19 26
7 19 21
8 19 12
9 19 82
10 19 49
11 19 87
12 19 85
13 19 19
14 19 33
15 19 81
16 19 97
17 19 6
18 19 34
19 19 47
20 19 46
21 19 5
22 19 80
23 19 38
24 19 26
25 19 82
26 19 34
27 19 90
28 19 26
29 19 18
30 19 27
31 19 73
32 19 38
33 19 50
34 19 63
35 19 83
36 19 66
37 19 72
38 19 16
39 19 71
40 19 90
41 19 39
42 19 39
43 19 95
44 19 14
45 19 49
46 19 85
47 19 68
48 19 96
49 19 10
50 19 8
51 19 21
52 19 62
53 19 95
54 19 59
55 19 6
56 19 14
57 19 62
58 19 51
59 19 19
60 19 23
1 20 80
2 20 16
3 20 97
4 20 51
5 20 89
6 20 77
7 20 49
8 20 29
9 20 1
10 20 48
11 20 91
12 20 12
13 20 89
14 20 87
15 20 22
16 20 65
17 20 54
18 20 93
19 20 50
20 20 69
21 20 41
22 20 25
23 20 50
24 20 34
25 20 59
26 20 53
27 20 30
28 20 70
29 20 26
30 20 12
31 20 9
32 20 53
33 20 33
34 20 86
35 20 66
36 20 75
37 20 11
38 20 57
39 20 97
40 20 80
41 20 32
42 20 93
43 20 72
44 20 21
45 20 90
46 20 56
47 20 16
48 20 74
49 20 39
50 20 71
51 20 32
52 20 23
53 20 77
54 20 60
55 20 41
56 20 79
57 20 15
58 20 56
59 20 13
60 20 4
1 21 59
2 21 38
3 21 10
4 21 54
5 21 2
6 21 50
7 21 72
8 21 59
9 21 99
10 21 12
11 21 11
12 21 17
13 21 81
14 21 18
15 21 81
16 21 43
17 21 10
18 21 78
19 21 78
20 21 31
21 21 97
22 21 75
23 21 46
24 21 97
25 21 59
26 21 7
27 21 1
28 21 22
29 21 25
30 21 57
31 21 38
32 21 8
33 21 63
34 21 23
35 21 25
36 21 21
37 21 98
38 21 62
39 21 35
40 21 84
41 21 5
42 21 70
43 21 71
44 21 40
45 21 4
46 21 81
47 21 64
48 21 87
49 21 30
50 21 57
51 21 61
52 21 85
53 21 13
54 21 11
55 21 47
56 21 68
57 21 92
58 21 79
59 21 38
60 21 94
1 22 86
2 22 40
3 22 61
4 22 57
5 22 53
6 22 29
7 22 6
8 22 6
9 22 28
10 22 25
11 22 99
12 22 67
13 22 37
14 22 81
15 22 66
16 22 62
17 22 93
18 22 43
19 22 40
20 22 46
21 22 50
22 22 65
23 22 69
24 22 45
25 22 58
26 22 28
27 22 21
28 22 41
29 22 47
30 22 13
31 22 64
32 22 37
33 22 40
34 22 83
35 22 18
36 22 10
37 22 58
38 22 90
39 22 57
40 22 21
41 22 82
42 22 84
43 22 38
44 22 55
45 22 74
46 22 16
47 22 79
48 22 3
49 22 83
50 22 53
51 22 8
52 22 94
53 22 79
54 22 47
55 22 57
56 22 73
57 22 93
58 22 20
59 22 76
60 22 54
1 23 55
2 23 61
3 23 90
4 23 97
5 23 62
6 23 62
7 23 18
8 23 8
9 23 22
10 23 12
11 23 36
12 23 34
13 23 41
14 23 34
15 23 48
16 23 29
17 23 56
18 23 63
19 23 1
20 23 87
21 23 44
22 23 59
23 23 41
24 23 88
25 23 45
26 23 16
27 23 32
28 23 93
29 23 70
30 23 27
31 23 51
32 23 81
33 23 15
34 23 1
35 23 31
36 23 32
37 23 69
38 23 47
39 23 49
40 23 74
41 23 2
42 23 65
43 23 50
44 23 72
45 23 74
46 23 11
47 23 56
48 23 1
49 23 87
50 23 34
51 23 17
52 23 52
53 23 88
54 23 5
55 23 89
56 23 70
57 23 84
58 23 56
59 23 53
60 23 86
1 24 28
2 24 34
3 24 8
4 24 26
5 24 87
6 24 27
7 24 1
8 24 4
9 24 17
10 24 4
11 24 75
12 24 18
13 24 68
14 24 96
15 24 58
16 24 20
17 24 41
18 24 96
19 24 14
20 24 18
21 24 37
22 24 59
23 24 22
24 24 39
25 24 66
26 24 27
27 24 80
28 24 62
29 24 53
30 24 22
31 24 30
32 24 89
33 24 95
34 24 71
35 24 38
36 24 26
37 24 1
38 24 54
39 24 17
40 24 83
41 24 99
42 24 90
43 24 36
44 24 26
45 24 8
46 24 19
47 24 71
48 24 18
49 24 91
50 24 21
51 24 98
52 24 59
53 24 37
54 24 89
55 24 7
56 24 98
57 24 66
58 24 59
59 24 19
60 24 70
1 25 17
2 25 39
3 25 24
4 25 99
5 25 89
6 25 17
7 25 57
8 25 52
9 25 41
10 25 20
11 25 96
12 25 52
13 25 51
14 25 65
15 25 49
16 25 71
17 25 20
18 25 19
19 25 53
20 25 68
21 25 60
22 25 57
23 25 16
24 25 36
25 25 85
26 25 95
27 25 65
28 25 88
29 25 16
30 25 30
31 25 84
32 25 83
33 25 57
34 25 2
35 25 49
36 25 69
37 25 18
38 25 89
39 25 9
40 25 8
41 25 64
42 25 80
43 25 61
44 25 95
